Date,Subscription status,Views,source
2025-09-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-25,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-02-04,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-02-05,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-02-06,Not subscribed,23,Subscription Status_Ai-talks-CA
2025-02-07,Not subscribed,6,Subscription Status_Ai-talks-CA
2025-02-08,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-02-09,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-02-10,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-02-11,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-02-12,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-02-13,Not subscribed,11,Subscription Status_Ai-talks-CA
2025-02-14,Not subscribed,26,Subscription Status_Ai-talks-CA
2025-02-15,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-02-16,Not subscribed,7,Subscription Status_Ai-talks-CA
2025-02-17,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-02-18,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-02-19,Not subscribed,7,Subscription Status_Ai-talks-CA
2025-02-20,Not subscribed,6,Subscription Status_Ai-talks-CA
2025-02-21,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-02-22,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-02-23,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-02-24,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-02-25,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-02-26,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-02-27,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-02-28,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-03-01,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-03-02,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-03-03,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-03-04,Not subscribed,5,Subscription Status_Ai-talks-CA
2025-03-05,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-03-06,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-03-07,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-03-08,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-03-09,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-03-10,Not subscribed,6,Subscription Status_Ai-talks-CA
2025-03-11,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-03-12,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-03-13,Not subscribed,18,Subscription Status_Ai-talks-CA
2025-03-14,Not subscribed,7,Subscription Status_Ai-talks-CA
2025-03-15,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-03-16,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-03-17,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-03-18,Not subscribed,66,Subscription Status_Ai-talks-CA
2025-03-19,Not subscribed,5,Subscription Status_Ai-talks-CA
2025-03-20,Not subscribed,5,Subscription Status_Ai-talks-CA
2025-03-21,Not subscribed,10,Subscription Status_Ai-talks-CA
2025-03-22,Not subscribed,6,Subscription Status_Ai-talks-CA
2025-03-23,Not subscribed,7,Subscription Status_Ai-talks-CA
2025-03-24,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-03-25,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-03-26,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-03-27,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-03-28,Not subscribed,30,Subscription Status_Ai-talks-CA
2025-03-29,Not subscribed,18,Subscription Status_Ai-talks-CA
2025-03-30,Not subscribed,9,Subscription Status_Ai-talks-CA
2025-03-31,Not subscribed,9,Subscription Status_Ai-talks-CA
2025-04-01,Not subscribed,10,Subscription Status_Ai-talks-CA
2025-04-02,Not subscribed,7,Subscription Status_Ai-talks-CA
2025-04-03,Not subscribed,7,Subscription Status_Ai-talks-CA
2025-04-04,Not subscribed,5,Subscription Status_Ai-talks-CA
2025-04-05,Not subscribed,7,Subscription Status_Ai-talks-CA
2025-04-06,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-04-07,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-04-08,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-04-09,Not subscribed,78,Subscription Status_Ai-talks-CA
2025-04-10,Not subscribed,24,Subscription Status_Ai-talks-CA
2025-04-11,Not subscribed,28,Subscription Status_Ai-talks-CA
2025-04-12,Not subscribed,12,Subscription Status_Ai-talks-CA
2025-04-13,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-04-14,Not subscribed,10,Subscription Status_Ai-talks-CA
2025-04-15,Not subscribed,5,Subscription Status_Ai-talks-CA
2025-04-16,Not subscribed,19,Subscription Status_Ai-talks-CA
2025-04-17,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-04-18,Not subscribed,9,Subscription Status_Ai-talks-CA
2025-04-19,Not subscribed,6,Subscription Status_Ai-talks-CA
2025-04-20,Not subscribed,7,Subscription Status_Ai-talks-CA
